,Cluster,Chromosome,Start,End,Strand,Description,R30,S30,L30,F30,R45,S45,L45,F45,R85,S85,L85,10DPA,20DPA,IMG,MG,Br,Br3,Br7,Br10,Br15
Solyc01g005090.3,9,SL3.0ch01,87282,89176,-,"Type I ""inositol-1,4,5-trisphosphate"" 5-phosphatase CVP2 (AHRD V3.3 *** A0A0B2RAB0_GLYSO)              ",1.644741461,-0.414731572,-0.414731572,-0.408024113,1.760346173,-0.414731572,-0.414731572,-0.414731572,3.38613037,-0.40832618,-0.409054429,-0.411264059,-0.41101221,-0.414731572,-0.408306424,-0.414731572,-0.392950161,-0.368398268,-0.281986245,-0.388774908
Solyc01g005210.3,8,SL3.0ch01,169225,169318,+,Trehalose-phosphate synthase 6 (AHRD V3.3 *** W8Q024_CAMSI)                ,-0.095578677,0.049021946,-1.361215276,-1.182625049,-0.068484069,1.652134181,-0.951160586,-0.935122633,0.933981716,1.538835719,-0.081979257,-1.562276421,-1.096067334,1.475059595,0.349578861,0.98007076,0.129607414,0.801736249,0.503029428,-1.078546568
Solyc01g005550.3,6,SL3.0ch01,384669,385475,+,carboxyl-terminal peptidase (DUF239) (AHRD V3.3 *** AT2G44210.1)                ,0.708638655,3.171040435,0.018199674,1.118084685,0.604085496,0.54152871,0.018881686,0.033759504,0.595629842,0.47224685,-0.457694904,-1.170860051,0.058574455,-0.234249712,-0.613955875,-0.987644279,-1.305804553,-0.747160303,-0.774250205,-1.049050109
Solyc01g005560.3,0,SL3.0ch01,398940,399328,+,Isocitrate dehydrogenase [NADP] (AHRD V3.3 *** IDHC_SOLTU)                ,2.453409226,0.767514866,0.31114051,-0.367705941,1.668925188,-0.101276407,-0.67242389,-0.000413224,1.368570433,-0.081618078,1.295137114,-0.67352857,-1.054753928,-1.31343454,-1.332784856,-0.265498286,-0.422878233,-0.89781733,-0.354277134,-0.32628692
Solyc01g005570.3,6,SL3.0ch01,402827,403017,-,DUF1639 family protein (AHRD V3.3 *** A0A072U1E7_MEDTR)                ,1.188143403,1.659409792,0.04096163,1.676531524,1.490790973,0.17509614,-0.211207528,-0.167793717,0.378460935,0.747402574,0.643183831,-0.9497952,0.579388672,-0.35937726,-0.886951326,-0.880908243,-1.2964303,-1.119855922,-1.19177616,-1.515273819
Solyc01g005640.3,8,SL3.0ch01,454235,454647,+,histidine-tRNA ligase (AHRD V3.3 *** AT3G10250.5)                 ,-0.026749312,-0.677928109,-1.809064186,-1.022613067,1.074277121,0.334227537,-1.213984891,-0.368587071,1.612873193,1.027939718,-0.456084369,-1.598693095,-0.906602431,-0.130662793,-0.404983783,0.455160135,0.881401908,0.549324954,1.485258035,1.195490506
Solyc01g005810.3,8,SL3.0ch01,534426,534782,+,MAK16 protein-like protein (AHRD V3.3 *** AT1G23280.1)                ,-0.313662783,0.411978014,-1.686444189,-0.824408316,0.215293955,-0.150394412,-1.55094304,-1.338668073,0.910649942,1.284236685,0.13227015,-0.871044356,-0.505319384,1.660976865,0.873125332,-0.183019604,-1.105846611,1.238122682,1.399293167,0.403803975
Solyc01g005980.3,6,SL3.0ch01,651386,652114,-,"transmembrane ""protein,"" putative (Protein of unknown ""function,"" DUF538) (AHRD V3.3 *** AT5G19860.1)           ",1.784486272,0.553348311,0.068642526,1.650428774,0.813694525,-0.522889382,-0.905697093,0.358809878,-0.325281137,0.388773861,0.133683196,-0.223177007,0.41083878,0.364725901,1.490381333,-0.05196596,-1.677048488,-1.32611053,-1.398572329,-1.587071428
Solyc01g006260.3,6,SL3.0ch01,869312,869756,+,Ribonuclease P/MRP protein subunit POP5 (AHRD V3.3 *** A0A068TLU2_COFCA)              ,1.151345173,-0.139631877,0.314301062,0.497446145,2.323568174,-0.034600797,0.160737059,-0.208796656,-0.328277919,1.065798304,0.89076601,-1.060810161,-0.004591122,0.683705598,0.658026669,-0.106825621,-1.732227241,-1.268915236,-1.255518905,-1.605498658
Solyc01g006280.3,6,SL3.0ch01,879817,880657,+,Formate--tetrahydrofolate ligase (AHRD V3.3 *** FTHS_SPIOL)                 ,0.772695868,2.361346733,0.195546732,0.302378303,0.696999982,1.622666531,-0.005349555,-0.908944594,-0.688488199,0.230774617,0.275795174,-0.90989114,0.846220321,0.507808322,-0.260750651,0.262877172,-1.083152627,-1.172182157,-1.629473267,-1.416877564
Solyc01g006690.3,6,SL3.0ch01,1269983,1270429,-,DNA double-strand break repair rad50 ATPase (AHRD V3.3 *** A0A061GZ54_THECC)             ,0.852366747,0.649284869,2.178368928,0.746513732,1.038767462,0.873669971,1.897117332,0.304272788,0.322618548,-0.617237642,-0.483176793,-1.046641338,-0.394698801,-0.486464312,-0.677413774,-0.982785153,-0.900466359,-1.083129303,-1.096616177,-1.094350726
Solyc01g006740.3,6,SL3.0ch01,1340272,1340485,-,Sucrose phosphate phosphatase (AHRD V3.3 *** Q5J3N8_ACTCH)                ,1.252985913,0.581930764,-0.761039718,0.95765561,-0.4001159,0.917767352,-0.381293712,-0.091038161,0.023981854,1.451341376,0.487377894,-1.694978713,0.915799851,0.639101712,0.368322591,-0.620869396,-2.507217581,0.251933603,0.057618799,-1.449264139
Solyc01g007070.3,7,SL3.0ch01,1604100,1605813,-,BEL1-like homeodomain protein 1 (AHRD V3.3 *** A0A151SQ36_CAJCA)               ,-0.910663314,-0.878725383,-1.131658068,-1.011161953,-0.699675076,-0.043297307,-1.01451203,-0.420679005,-0.647699392,0.610186493,-0.547341112,-1.042356506,-0.179301093,1.064991644,0.290824127,0.981892495,1.078552731,2.223182321,1.946695477,0.330744952
Solyc01g007130.3,6,SL3.0ch01,1678677,1679446,+,Receptor-like protein kinase (AHRD V3.3 *** Q58JF6_SOLPI)                ,2.149850628,1.094403306,-0.541960157,-0.202499299,1.278812897,0.480125707,-0.718576536,-0.889392135,1.756250886,1.367511195,-0.249889431,-0.950984582,0.189817446,0.209511059,-0.350208851,-0.479951847,-0.957802466,-0.949031825,-1.105079599,-1.130906398
Solyc01g007150.3,8,SL3.0ch01,1720204,1720369,-,Coatomer subunit beta (AHRD V3.3 *** K4AST1_SOLLC)                ,0.316122987,2.017735687,-1.684730214,0.405443912,-0.453961922,0.514975481,-1.733427617,-1.321542781,0.100166431,0.166988208,-1.15384268,-0.943878497,0.921558495,0.612724373,0.514072705,-0.483332135,-0.536528689,0.202731235,1.455501299,1.083223724
Solyc01g007860.3,5,SL3.0ch01,1957521,1957531,-,ubiquitin-conjugating enzyme E2 variant 1D                  ,0.844887746,0.11120946,-0.891942479,-1.164815053,2.939456141,0.842086167,-0.859716617,-0.930291773,1.21664029,0.894076483,0.439054973,-0.198162986,-0.010313401,0.493307436,0.047882252,-0.334440163,-1.057066237,-1.22661446,-0.510948973,-0.644288805
Solyc01g007900.3,8,SL3.0ch01,2038060,2038291,-,Tobamovirus multiplication 1 homolog (AHRD V3.3 *** Q402F2_SOLLC)               ,0.267038395,-0.176315676,-1.910656478,0.137895549,-0.275381088,-0.499838053,-1.628594185,0.247136121,0.8185584,-0.140674982,-1.262885916,-0.324658321,-0.312438155,-0.395194506,0.131717314,-0.396541996,0.27213611,1.515817067,2.33036037,1.60252003
Solyc01g008000.3,8,SL3.0ch01,2114484,2114573,+,ADP-ribosylation factor (AHRD V3.3 *** ARF_VIGUN)                 ,-0.065331031,-0.506590633,-2.03153758,-1.604660434,0.040663287,1.028511386,-1.532466124,-0.833766083,-0.605004978,0.359625416,0.058826985,-0.211738436,0.505227534,1.931396191,1.599399342,0.919056384,-0.329587051,0.787238915,0.522119179,-0.031382268
Solyc01g008020.3,6,SL3.0ch01,2124241,2124810,-,Equilibrative nucleoside transporter (AHRD V3.3 *** A0A103YAP6_CYNCS)                ,1.037393629,2.243806913,0.124689405,0.452538521,0.818002625,1.013639025,-0.114423712,0.294097557,0.904599901,0.538841041,0.773766535,-0.450525509,0.483595946,-0.737792324,-0.942860705,-1.272009899,-1.303387184,-1.258706182,-1.313299228,-1.291966355
Solyc01g008140.3,1,SL3.0ch01,2222469,2225510,-,Receptor kinase (AHRD V3.3 *** A0A0K9Q671_ZOSMR)                 ,0.964815319,0.141073289,-1.36854394,-0.851561703,1.188225362,0.35333257,-1.095704268,-0.805423235,1.93502579,0.339355944,-0.281798677,-1.822278808,-1.291852675,-0.027173828,-0.491968236,0.124380356,-0.353376162,0.993099416,1.226129508,1.124243976
Solyc01g008180.3,0,SL3.0ch01,2268692,2269228,-,Remorin family protein (AHRD V3.3 *** B9HVM6_POPTR)                ,1.039656114,1.813853753,0.052863382,2.156032254,0.68620453,1.309869023,0.28911205,-0.135795202,0.219768861,0.53918822,0.281568335,-0.442177019,-0.758607552,-0.744650405,-0.766082799,-1.320495447,-1.375711046,-0.929486062,-1.067931999,-0.847178993
Solyc01g008290.3,1,SL3.0ch01,2339104,2339467,+,"Dihydroorotate dehydrogenase ""(quinone),"" mitochondrial (AHRD V3.3 *** K4AT27_SOLLC)               ",1.36697754,0.492762549,-1.283005369,-0.602397038,1.529117394,0.031147662,-1.534849254,-1.008381396,0.678004771,0.27461232,-0.053877052,-0.883207914,-0.716045641,0.075276541,-0.296953804,-0.725085997,-1.353211611,0.838494495,1.305355078,1.865266726
Solyc01g008460.3,8,SL3.0ch01,2481457,2481622,-,Ferredoxin (AHRD V3.3 *** Q70SW4_DIGLA)                  ,0.696990099,-0.884826797,-1.611282209,-0.04508175,1.69333742,-0.425434857,-1.616560596,-0.572021986,0.318263584,0.104436826,0.834526912,-1.706307025,-0.716742838,-0.042557598,0.168505198,0.693539739,-0.62970546,1.320247481,1.616357945,0.80431591
Solyc01g008530.3,6,SL3.0ch01,2571381,2571653,-,phenylacetaldehyde reductase                     ,0.51780074,2.089524746,0.453676832,1.191379137,0.087709259,1.893244597,0.674578357,-0.558747543,0.424376706,1.226476291,0.144727657,-0.620343346,-0.678061447,-0.836417018,-0.734813824,-1.023142376,-1.10989277,-0.926361539,-1.119940191,-1.09577427
Solyc01g008550.4,0,SL3.0ch01,2584363,2584641,-,phenylacetaldehyde reductase PAR2                    ,1.226112604,1.338623198,0.021091845,0.599781755,1.406509859,0.760495667,0.01963568,0.32087503,1.178124453,0.724391472,1.065705131,-0.277174518,0.082336657,-0.873222981,-0.889502344,-1.254113602,-1.346018412,-1.355905559,-1.392542116,-1.355203819
Solyc01g008640.3,1,SL3.0ch01,2642424,2643413,+,Cytochrome P450 (AHRD V3.3 *** Q9AVQ2_SOLTU)                 ,2.12289826,-0.431439561,-0.431439561,-0.431439561,3.055706936,-0.431439561,-0.37483028,-0.431439561,1.805133847,-0.431439561,-0.392776397,-0.431439561,-0.431439561,-0.385277901,-0.431439561,-0.431439561,-0.385846721,-0.267733015,-0.431439561,-0.431439561
Solyc01g008910.2,1,SL3.0ch01,2870029,2871920,+,Scarecrow-like transcription factor 3 family protein (AHRD V3.3 *** B9HP16_POPTR)             ,0.83580477,-0.912158154,0.084303163,0.098103299,0.70657519,-1.518210737,-0.829203374,-0.234985593,1.225804136,0.116570652,0.412097652,-1.726969347,-0.658993851,-0.98349663,-1.463852933,-0.032194082,0.531379423,1.337233173,1.300457868,1.711735377
Solyc01g008990.3,8,SL3.0ch01,2941611,2942056,+,THO complex subunit 7 (AHRD V3.3 *** A0A0B0PUA3_GOSAR)               ,0.270201217,0.240492179,-2.120522558,-0.033202042,0.392506853,-0.112639623,-1.864934536,0.032468879,0.487233183,0.368044596,-0.159906395,-1.815626101,-0.337358746,-0.237043551,-0.235097807,0.269870279,0.05558119,1.650440406,1.726296444,1.423196132
Solyc01g009150.3,8,SL3.0ch01,3103592,3103902,+,Fe(3+) dicitrate transport system permease (AHRD V3.3 *** AT5G21070.1)              ,-0.005050208,0.766705685,-1.553061742,0.115372918,-0.987774256,1.305931885,-1.383280756,-1.244642148,-0.822137724,-0.150292205,-1.449433209,-0.42027373,1.443420664,1.540024475,1.197978496,0.684472253,-0.655480787,0.825898542,0.599765836,0.191856011
Solyc01g009310.3,8,SL3.0ch01,3428788,3429000,+,meloidogyne-induced giant cell protein DB217                  ,-0.297268285,0.367641752,-1.392132479,-1.095040426,1.868265025,0.538814617,-1.184751102,-1.213787187,-0.163033999,1.673650383,1.110035929,-0.366116635,-0.387920174,0.843250004,1.705994926,-0.389088208,-1.355639759,-0.108002007,-0.038766302,-0.116106069
Solyc01g010540.3,6,SL3.0ch01,5500138,5500679,+,"40S ribosomal protein ""S9,"" putative (AHRD V3.3 *** Q60CZ2_SOLDE)              ",1.284158912,2.543126015,-0.688333339,1.009382627,1.708507934,-0.33901992,-1.567899816,-1.129801893,0.407181218,-0.072856902,-0.292792887,0.048013944,0.279191572,-0.108820351,0.326229444,-0.150458856,-1.359487608,-0.377676036,-0.766978032,-0.751666028
Solyc01g010580.3,8,SL3.0ch01,5537272,5537692,+,"40S ribosomal protein ""S9,"" putative (AHRD V3.3 *** Q60CZ2_SOLDE)              ",0.284109878,0.639760688,-1.394989965,-0.692179651,1.116760255,0.005324487,-1.563889327,-1.261124518,2.570059739,0.809450526,0.226191438,-0.270970902,-0.096329828,0.917090278,0.938852938,-0.588116195,-1.406485249,0.382782664,-0.198120289,-0.418176969
Solyc01g010810.3,8,SL3.0ch01,6155147,6156685,-,Ran guanine nucleotide release factor-like protein (AHRD V3.3 *** G7KCJ8_MEDTR)             ,1.268694459,0.388720081,-1.92401615,-1.558340246,0.844749487,1.52853465,-0.95750417,-1.651749233,0.4565551,1.285263796,0.360774085,-0.573546674,0.701942754,0.465658182,-0.386837237,0.295971307,-1.342793931,0.018561924,0.532042968,0.247318847
Solyc01g010835.1,4,SL3.0ch01,6180194,6180410,-,Haloacid dehalogenase-like hydrolase domain protein (AHRD V3.3 *-* G7KDV9_MEDTR)              ,-1.725821263,-0.226038096,-1.576559437,0.890007176,-2.065488462,-0.157884638,-0.131428048,-0.221466135,-1.326378643,-0.101748601,-0.556361916,0.823004592,1.486123131,0.427506891,0.671377536,0.450508401,0.883263708,0.407678271,1.518190336,0.531515197
Solyc01g010920.2,6,SL3.0ch01,6384111,6384358,-,O-fucosyltransferase family protein (AHRD V3.3 *-* AT1G14020.1)                ,1.029129476,0.266196901,0.38665247,1.588153711,1.28463069,0.753190274,0.686850602,-0.358854719,-0.268369382,1.220694304,1.628426151,-0.804287442,-0.480529151,-0.448237924,-0.381893398,-0.699196079,-1.514827589,-1.298495297,-1.539585576,-1.049648022
Solyc01g010990.2,8,SL3.0ch01,6794771,6796301,+,"Transmembrane ""protein,"" putative (AHRD V3.3 *** A0A072UY68_MEDTR)                ",1.650262756,2.002600894,-1.438237043,0.204015221,-0.486618948,-0.28917963,-1.53962983,-1.445323573,1.127425257,0.33039304,-1.45379532,0.986306335,0.573354239,0.16462607,0.566407509,-0.54510809,-0.776323253,-0.300122556,0.432884942,0.236061982
Solyc01g011095.1,6,SL3.0ch01,7618377,7618442,+,CLAVATA3/ESR (CLE)-related 25-like protein (AHRD V3.3 *-* A0A0B0NFL0_GOSAR)               ,-0.482023938,1.871939266,0.907158276,0.177490481,0.380834639,-0.182359487,2.024540256,1.447872839,-0.228551553,0.398995472,0.357738224,-1.101621061,0.015697093,0.201583645,0.118424395,-0.761595593,-0.949827253,-1.176976404,-1.542562257,-1.476757041
Solyc01g011340.3,8,SL3.0ch01,8635820,8639446,+,protein phosphatase 2A catalytic subunit 2                 ,-0.027593962,0.541532253,-1.749275072,0.11909894,-0.573911249,-0.201913413,-1.716550934,-1.187964567,0.564825407,-0.439021991,-0.974173832,-0.251003822,2.722360397,0.668432475,0.934544171,-0.142720904,0.1685759,0.104823715,1.245417248,0.19451924
Solyc01g011497.1,0,SL3.0ch01,9372100,9372169,-,defensin-like protein (AHRD V3.3 *** AT1G19610.1)                 ,-0.021230833,-0.539557582,1.023407673,1.453750557,2.490304291,0.140052474,-0.41941781,1.344767218,1.07045409,0.907466484,-0.056967071,-0.496927287,-0.467300017,-0.918400312,-0.918400312,-0.918400312,-0.918400312,-0.918400312,-0.918400312,-0.918400312
Solyc01g014270.3,4,SL3.0ch01,11894611,11895048,+,LETM1-like protein (AHRD V3.3 --* AT3G11560.4)                 ,-2.01562124,-0.652882557,0.254902314,-0.473533426,-1.84382686,0.49857311,0.909144662,-0.735850043,-1.717798132,0.416238698,1.181200339,0.018443573,0.966198265,1.305596379,1.392490393,0.529125634,-0.666402191,0.61064857,-0.064067463,0.087419977
Solyc01g014620.1,0,SL3.0ch01,14374634,14375008,-,P-loop containing nucleoside triphosphate hydrolases superfamily protein (AHRD V3.3 --* AT2G41670.1)            ,1.395190905,0.455529691,0.744591758,0.638483229,0.231204161,-0.226146538,-0.114053909,-0.189330547,0.517135826,2.5440925,1.772916492,-0.58174506,-0.94710065,-0.932694961,-0.940032218,-0.94710065,-0.928035388,-0.708384611,-0.94710065,-0.837419378
Solyc01g014850.3,1,SL3.0ch01,15522225,15522229,-,Zinc finger transcription factor 7                  ,0.824553543,-0.175816871,-1.050385784,-0.711614339,2.241649393,0.066442892,-1.023172439,-1.281096643,1.409372419,0.630293323,0.949735399,-0.722523402,-0.720253953,-0.407449946,-0.619541284,-0.761990192,-1.092482656,-0.120740116,1.221863196,1.34315746
Solyc01g017130.1,1,SL3.0ch01,23799397,23799627,+,Protein Ycf2 (AHRD V3.3 *-* YCF2_SOLLC)                 ,2.513061722,-0.542981379,-0.542981379,-0.542981379,2.311300653,-0.542981379,-0.542981379,-0.542981379,0.70658073,-0.542981379,-0.542981379,-0.542981379,-0.542981379,-0.542981379,-0.542981379,-0.542981379,-0.542981379,-0.542981379,1.257871268,1.355906317
Solyc01g020440.3,6,SL3.0ch01,30774115,30774214,-,Replication factor C subunit 3 (AHRD V3.3 *** RFC3_ARATH)              ,0.731964877,1.843388855,-0.777496727,2.559449255,1.332040796,-0.035778655,-0.726568925,-1.015359671,0.67811959,-0.261503568,-0.418504793,-0.433238797,0.331364146,0.134610643,-0.056798631,-0.869399012,-1.790495062,-0.519896037,-0.544007809,-0.161890474
Solyc01g028870.3,4,SL3.0ch01,40945711,40946144,-,N utilization substance B (AHRD V3.3 *** A0A0B0MRW6_GOSAR)               ,-1.748869122,0.304435264,0.789467541,0.241792742,-1.589472594,-0.28333404,0.822751635,-1.317009543,-1.513233106,-0.524768623,-0.21464056,-1.463529671,0.220349087,1.007031167,0.477175386,0.424600159,0.801188376,1.348336726,1.163399489,1.054329686
Solyc01g044360.3,8,SL3.0ch01,43207462,43208114,+,Importin 5 (AHRD V3.3 *** A0A0U3C0Z7_HEVBR)                 ,-0.045662042,0.049366086,-1.522924572,-0.609203256,-0.305583103,0.568372202,-1.395801477,-1.045509214,0.612001832,0.225134471,-0.923068405,-0.881022405,-0.651279106,0.537396001,1.02000674,-0.183747761,-0.71540357,1.36739769,2.054411936,1.845117954
Solyc01g056725.1,4,SL3.0ch01,56287654,56287682,-,NADH dehydrogenase subunit 5 (AHRD V3.3 *-* A0A1C9IAH4_9LAMI)               ,-1.564963933,0.950992507,-1.765006177,0.640534979,-1.795473727,1.693640658,-0.954697145,1.290385222,-0.153447579,-0.021160192,-1.142091809,-0.679916027,-0.09971453,0.543136523,0.407455096,0.491095302,-0.223163413,0.818886415,0.723269504,0.840238325
Solyc01g056790.3,6,SL3.0ch01,56549154,56549793,+,Exostosin-like protein (AHRD V3.3 *** A0A124SBF9_CYNCS)                 ,-0.052251271,1.565356214,-0.506425507,2.614714364,-0.795097674,1.115341437,-0.399014826,0.144165539,0.263129314,0.182934838,-0.216549014,-0.596031435,0.516614632,1.075160141,0.364771185,-0.434484162,-1.3622003,-0.7475365,-1.359929666,-1.372667309
Solyc01g056795.1,6,SL3.0ch01,56549351,56549793,+,Exostosin-like (AHRD V3.3 *-* Q2HVN7_MEDTR)                  ,2.18172396,1.083050632,0.738992482,1.15660759,0.965702905,0.544225894,0.891671826,0.204677466,0.205023511,-0.031055103,0.498297359,-0.348285731,-0.127598295,-0.718786496,-0.673571677,-1.152046909,-1.300215516,-1.535499987,-1.232278391,-1.350635524
Solyc01g056810.3,6,SL3.0ch01,56761965,56761982,-,Syntaxin (AHRD V3.3 *** A0F0A7_NICBE)                  ,0.243234978,1.222726473,-0.292050632,1.702597808,0.395176762,1.126167458,0.007413299,-0.737647081,-0.13550241,0.296415479,-0.084047855,-0.367963359,0.552262828,1.82662375,0.707146998,-1.179881682,-1.864696891,-1.104865672,-0.745717342,-1.567392908
Solyc01g057440.3,7,SL3.0ch01,60916978,60917137,-,NAC domain containing protein 71 (AHRD V3.3 --* AT4G17980.2)              ,-0.895759381,-0.916644541,-0.812323661,-0.337790087,-0.49494231,-0.598621853,-0.762192909,-0.698254148,-0.504636966,0.624195993,0.538335016,-1.403188258,-0.286001864,0.14067945,0.44933285,0.038402359,0.09275593,1.835974952,2.820397531,1.170281898
Solyc01g057477.1,8,SL3.0ch01,61052965,61053045,+,mediator of RNA polymerase II transcription subunit 15a-like protein (AHRD V3.3 --* AT1G15780.3)          ,-0.195592721,-1.043728669,-1.287721413,-1.239129786,0.619707089,0.184646937,-1.067100135,-1.038647872,0.893738857,2.059237281,1.846234,-1.434657495,-0.513382103,1.006290757,0.046784646,0.683545148,-0.611512767,0.288664067,0.478930856,0.323693322
Solyc01g057490.3,8,SL3.0ch01,61053967,61054408,+,mediator of RNA polymerase II transcription subunit 15a-like protein (AHRD V3.3 --* AT1G15780.3)          ,0.241331244,-1.080673676,-1.533939636,-1.372025155,1.705579149,0.005795464,-1.049488822,-0.451840748,0.453580784,2.146101448,0.901563799,-1.514649821,-0.92120534,0.995404433,-0.042635681,0.314888473,0.318067812,0.126498441,0.553158215,0.204489618
Solyc01g057530.1,1,SL3.0ch01,61414397,61414708,-,LOW QUALITY:Pentatricopeptide repeat (PPR) superfamily protein (AHRD V3.3 --* AT5G65560.3)             ,1.793509825,-0.572089212,-0.572089212,-0.572089212,1.449001721,-0.572089212,-0.572089212,-0.572089212,3.23363682,-0.572089212,0.478653154,-0.572089212,-0.572089212,0.202837056,-0.572089212,-0.572089212,-0.087602623,-0.572089212,-0.080742247,-0.12422316
Solyc01g058020.3,0,SL3.0ch01,64958202,64958776,+,Alkaline/neutral invertase (AHRD V3.3 *-* A0A0D5CUF6_9ROSI)                 ,2.685127732,0.294477653,0.367206317,-0.383784207,1.333751331,0.274798879,1.185679353,-0.211900581,1.454234757,0.328947695,-0.152862534,-0.014782663,-1.165964245,-0.936546245,-0.666548128,-0.994888558,-1.131162531,-0.933526917,-0.949297359,-0.38295975
Solyc01g058280.3,8,SL3.0ch01,65886908,65887053,-,Transmembrane 93 (AHRD V3.3 *** A0A0B0PFK3_GOSAR)                 ,0.883025541,-1.029660707,-1.806201315,-0.099524456,1.546286524,0.765520638,-1.642260565,-0.283929852,-0.129947446,1.000291818,0.86498099,-1.349608649,-0.748990574,0.695521158,0.812323819,0.530396347,-1.320130332,0.581940981,1.143532807,-0.413566727
